81.24,84.13,86.87,89.62,92.41,95.28,98.23,101.28,104.46,107.75,111.2,114.82,118.58,122.55,126.77,131.33,136.36,141.64,147.26,153.22,159.43,165.87,172.51,179.29,186.25,193.42,200.81,208.41,216.26,224.37,232.77,241.4,250.32,259.54,269.03,278.8,288.85,299.19,309.81,320.71,331.91,343.39,355.15,367.19,379.48,392.02,404.77,417.7,430.8,444.03,457.35,470.76,484.17,497.58,510.96,524.26,537.45,550.52,563.44,576.17,588.69,601.01,613.11,624.99,636.65,648.11,659.39,670.53,681.6,692.7,703.96,715.63,728.11,742,758.33,778.82,806.51,846.93,910.47
86.23,89.32,92.27,95.23,98.25,101.33,104.49,107.77,111.19,114.72,118.45,122.31,126.33,130.62,135.18,140.09,145.49,151.13,157.12,163.45,170,176.81,183.8,190.96,198.3,205.86,213.65,221.66,229.92,238.46,247.29,256.36,265.73,275.41,285.36,295.59,306.12,316.92,328.01,339.37,351.01,362.93,375.11,387.55,400.22,413.09,426.16,439.37,452.71,466.14,479.62,493.14,506.62,520.06,533.43,546.66,559.77,572.7,585.45,597.98,610.29,622.37,634.22,645.84,657.24,668.46,679.53,690.51,701.5,712.65,724.17,736.45,750.08,766.05,786.05,813,852.25,913.85,1000
91.4,94.7,97.87,101.05,104.27,107.57,110.96,114.47,118.13,121.93,125.91,130.03,134.36,138.98,143.9,149.18,154.94,160.95,167.3,173.97,180.89,188.04,195.41,202.95,210.67,218.62,226.81,235.23,243.92,252.88,262.14,271.65,281.48,291.6,302.01,312.7,323.68,334.94,346.47,358.26,370.33,382.65,395.22,408.02,421.02,434.19,447.52,460.96,474.49,488.06,501.64,515.21,528.71,542.12,555.42,568.55,581.51,594.27,606.81,619.12,631.17,643,654.58,665.93,677.09,688.09,698.98,709.88,720.91,732.3,744.4,757.79,773.43,792.94,819.19,857.33,917.08,1000,1000
96.77,100.29,103.67,107.06,110.49,114.01,117.64,121.39,125.31,129.36,133.6,138.03,142.69,147.67,152.95,158.6,164.72,171.09,177.78,184.8,192.07,199.59,207.33,215.24,223.35,231.7,240.29,249.13,258.23,267.62,277.31,287.28,297.54,308.11,318.96,330.11,341.52,353.21,365.17,377.37,389.83,402.53,415.44,428.56,441.84,455.27,468.81,482.41,496.07,509.74,523.36,536.93,550.39,563.72,576.89,589.87,602.64,615.19,627.5,639.55,651.34,662.89,674.2,685.3,696.23,707.05,717.85,728.77,740.03,751.97,765.14,780.46,799.53,825.1,862.18,920.17,1000,1000,1000
102.35,106.07,109.66,113.26,116.92,120.67,124.53,128.55,132.72,137.03,141.57,146.33,151.34,156.68,162.32,168.33,174.81,181.52,188.56,195.93,203.56,211.45,219.56,227.85,236.35,245.1,254.1,263.35,272.87,282.68,292.82,303.21,313.91,324.92,336.21,347.78,359.62,371.72,384.07,396.66,409.48,422.51,435.73,449.12,462.64,476.26,489.96,503.69,517.42,531.11,544.72,558.24,571.61,584.81,597.82,610.6,623.15,635.45,647.5,659.27,670.79,682.06,693.12,703.98,714.72,725.44,736.26,747.38,759.16,772.13,787.17,805.81,830.74,866.81,923.11,1000,1000,1000,1000
108.12,112.05,115.85,119.67,123.56,127.54,131.67,135.92,140.35,144.96,149.83,154.94,160.31,166.01,172.01,178.38,185.19,192.25,199.64,207.37,215.36,223.62,232.1,240.78,249.67,258.82,268.23,277.89,287.83,298.07,308.63,319.45,330.58,342.02,353.73,365.71,377.95,390.44,403.16,416.1,429.24,442.56,456.04,469.65,483.36,497.13,510.94,524.72,538.47,552.14,565.69,579.11,592.33,605.36,618.17,630.72,643.02,655.05,666.81,678.3,689.53,700.54,711.36,722.03,732.66,743.38,754.39,766.01,778.78,793.55,811.8,836.12,871.23,925.92,1000,1000,1000,1000,1000
114.08,118.22,122.23,126.29,130.4,134.65,139.02,143.53,148.26,153.19,158.41,163.87,169.61,175.66,182.02,188.72,195.88,203.28,211.02,219.12,227.47,236.09,244.96,254.03,263.32,272.86,282.67,292.75,303.11,313.77,324.74,335.99,347.54,359.39,371.5,383.88,396.49,409.34,422.39,435.64,449.06,462.63,476.32,490.11,503.95,517.82,531.67,545.47,559.18,572.78,586.22,599.48,612.52,625.34,637.91,650.2,662.22,673.96,685.44,696.64,707.6,718.37,728.98,739.53,750.15,761.05,772.53,785.1,799.62,817.5,841.26,875.44,928.61,1000,1000,1000,1000,1000,1000
120.24,124.59,128.83,133.11,137.49,141.98,146.6,151.41,156.46,161.74,167.3,173.13,179.22,185.62,192.31,199.36,206.86,214.62,222.72,231.17,239.88,248.89,258.13,267.59,277.27,287.22,297.44,307.93,318.7,329.77,341.16,352.82,364.77,377.01,389.5,402.24,415.2,428.38,441.73,455.25,468.9,482.68,496.54,510.44,524.37,538.27,552.12,565.88,579.51,592.98,606.26,619.34,632.16,644.73,657.03,669.04,680.76,692.21,703.39,714.32,725.03,735.59,746.07,756.61,767.39,778.73,791.13,805.39,822.92,846.14,879.46,931.17,1000,1000,1000,1000,1000,1000,1000
126.59,131.17,135.64,140.17,144.79,149.53,154.45,159.58,164.97,170.6,176.52,182.7,189.14,195.87,202.91,210.3,218.15,226.26,234.71,243.53,252.62,262,271.62,281.47,291.54,301.89,312.52,323.41,334.59,346.07,357.86,369.91,382.25,394.86,407.71,420.78,434.06,447.52,461.13,474.87,488.72,502.65,516.62,530.6,544.55,558.45,572.25,585.91,599.41,612.72,625.79,638.64,651.21,663.5,675.51,687.22,698.65,709.8,720.69,731.37,741.87,752.29,762.74,773.42,784.64,796.86,810.89,828.08,850.78,883.29,933.61,1000,1000,1000,1000,1000,1000,1000,1000
133.16,137.95,142.68,147.46,152.32,157.35,162.59,168.06,173.8,179.78,186.05,192.58,199.35,206.42,213.8,221.53,229.74,238.2,247.02,256.2,265.66,275.42,285.43,295.66,306.13,316.88,327.9,339.19,350.77,362.65,374.82,387.25,399.95,412.91,426.08,439.46,453.02,466.73,480.55,494.48,508.47,522.5,536.53,550.53,564.46,578.3,591.99,605.51,618.84,631.94,644.78,657.37,669.66,681.66,693.36,704.77,715.89,726.75,737.38,747.84,758.19,768.57,779.16,790.25,802.31,816.12,832.99,855.2,886.92,935.93,1000,1000,1000,1000,1000,1000,1000,1000,1000
139.93,144.98,149.94,154.96,160.12,165.47,171.04,176.86,182.95,189.28,195.89,202.74,209.85,217.26,224.99,233.07,241.63,250.45,259.63,269.18,279.02,289.15,299.54,310.16,321.03,332.16,343.58,355.27,367.23,379.49,392.03,404.81,417.85,431.12,444.6,458.24,472.04,485.95,499.95,514.01,528.1,542.18,556.22,570.19,584.05,597.78,611.32,624.66,637.77,650.63,663.21,675.51,687.5,699.19,710.58,721.67,732.5,743.1,753.51,763.81,774.12,784.62,795.6,807.51,821.1,837.66,859.41,890.38,938.14,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
